"county","year","acres_burned","n_fires"
"Solano",2023,0,0
"San Bernardino",2023,93415.2001,4
"Contra Costa",2023,0,0
"Alpine",2023,32.594,1
"El Dorado",2023,11.7,1
"Yolo",2023,0,0
"Yuba",2023,237.4168,6
"San Benito",2023,310.2381,2
"Humboldt",2023,52783.90066,11
"Riverside",2023,16265.01715,17
"Kern",2023,11159.110855,79
"Colusa",2023,0,0
"Del Norte",2023,130807.591,8
"Modoc",2023,96.95007,4
"Fresno",2023,3480.3277,16
"Madera",2023,201.546,2
"Santa Clara",2023,0,0
"Tehama",2023,472.721,1
"San Joaquin",2023,0,0
"Alameda",2023,0,0
"Nevada",2023,44.8048,1
"Butte",2023,189.28427,7
"Merced",2023,67.2604,1
"Tulare",2023,5569.4375742,6
"Stanislaus",2023,11.0216,1
"Orange",2023,0,0
"Imperial",2023,97.4738,3
"Sutter",2023,0,0
"Amador",2023,168.6537,4
"Lake",2023,0,0
"Plumas",2023,0,0
"San Mateo",2023,26.8246,1
"Siskiyou",2023,80297.07935,18
"Santa Cruz",2023,0,0
"Glenn",2023,3.31273,1
"San Luis Obispo",2023,2544.168556,42
